,,Hourly SiteSage  Data, 2018-02-03 12:24:00,Customer: ,Historic Green Village,Location: Bakery (F1),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Column name is Energy Monitor Channel Number-Circuit Name,,,,,,,,,,,,,,,,,,,,,,,,
Channel Columns contain energy usage(production) in watt hours for hour,,,,,,,,,,,,,,,,,,,,,,,,
Voltage is average voltage for hour,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 Date/Time,CH1-Bldg F1,CH3-PV Array F1,CH4-Plug: Front FridgeT,CH5-A/C: WSHP1,CH6-Range,CH8-Plug: Microwave,CH9-Wired: Dishwasher,CH10-Plug: Mixer,CH11-Plug: Fridge in Back,CH12-Plug: Front Display Case,CH13-Plug: Back Middle Freezer,CH14-Plug: Back Freezer near Wall,CH15-Lights: Indoor 1,CH16-DHW Gas Instant,CH17-Plug: Gas Oven,CH18-Plugs: Outlet 1,CH19-Plugs: Outlet 2,CH20-Plugs: Outlet 3,CH21-Plug: Front Small Fridge,CH22-Lights: Bath/Mechanical Room,CH23-Plug: Outdoor Receptacle,CH24-Lights: Outdoor 4,4065/Voltage,Outdoor Temp
1/7/2016 14:00,7585,-1106,0,3088,5,31,40,256,575,955,932,562,580,8,349,81,0,97,113,865,6,118,117,63
1/7/2016 15:00,7067,-1093,0,2793,5,32,40,90,607,978,866,529,581,4,359,82,0,95,115,815,5,121,117.7,64
1/7/2016 16:00,7811,-470,0,2965,5,31,32,182,616,969,858,608,581,4,350,82,0,99,114,810,6,121,117.7,65
1/7/2016 17:00,7027,-136,0,2350,5,34,80,186,518,909,878,688,581,14,72,81,0,136,114,839,5,16,117.2,64
1/7/2016 18:00,6040,8,0,1303,126,16,72,101,671,870,846,628,577,6,0,70,0,158,68,885,3,15,117.1,64
1/7/2016 19:00,5814,0,0,1163,537,13,0,29,691,872,795,558,386,1,0,21,0,128,0,947,0,0,117.5,62
1/7/2016 20:00,3892,0,0,0,5,16,0,65,641,895,900,565,32,0,0,0,0,57,0,891,0,0,118.8,63
1/7/2016 21:00,4783,0,0,733,5,13,0,69,773,907,917,579,33,0,0,0,0,58,0,959,0,0,119.5,63
1/7/2016 22:00,4543,0,0,658,5,14,0,65,586,917,946,575,33,0,0,0,0,59,0,922,0,0,120.3,63
1/7/2016 23:00,4491,0,0,644,4,14,0,33,694,927,879,548,34,0,0,0,0,61,0,903,0,0,120.9,64
1/8/2016 0:00,4465,0,0,633,4,14,0,37,545,926,874,773,34,0,0,0,0,60,0,845,0,0,120.9,65
1/8/2016 1:00,4747,0,0,629,4,14,0,67,579,921,1026,575,33,0,0,0,0,60,0,1126,0,0,120.5,65
1/8/2016 2:00,4606,0,0,696,5,14,0,65,575,923,944,570,34,0,0,0,0,60,0,970,0,0,120.8,63
1/8/2016 3:00,4289,0,0,573,3,15,0,57,476,927,921,541,34,0,0,0,0,60,0,943,0,0,121,63
1/8/2016 4:00,4294,0,0,625,4,14,0,31,591,922,818,535,34,0,0,0,0,60,0,913,0,0,120.6,63
1/8/2016 5:00,4299,0,0,725,4,14,0,43,434,907,916,544,33,0,0,0,0,60,0,871,0,0,119.7,63
1/8/2016 6:00,4158,0,0,626,5,14,0,68,376,888,845,561,33,0,0,0,0,60,0,892,0,0,118.3,63
1/8/2016 7:00,6102,-66,0,1415,5,49,0,116,530,881,786,576,435,5,0,6,0,75,582,1001,2,17,117.7,63
1/8/2016 8:00,6213,-308,0,1732,4,34,0,302,558,874,968,543,569,5,19,82,0,67,114,937,0,22,117.7,63
1/8/2016 9:00,6926,-894,0,2665,4,34,36,200,537,868,897,713,577,5,378,81,0,95,113,889,2,97,117.2,65
1/8/2016 10:00,6685,-1722,0,3362,7,178,38,167,546,920,731,701,579,3,318,80,0,88,112,850,5,101,116.3,68
1/8/2016 11:00,7501,-2337,0,3463,355,49,65,194,688,929,841,751,580,5,365,81,0,88,113,874,6,101,117.2,70
1/8/2016 12:00,8765,-2518,0,4086,587,77,39,123,612,928,903,719,580,4,343,81,0,107,114,919,6,96,117.3,71
1/8/2016 13:00,8238,-2265,0,3757,689,32,0,138,681,940,861,695,580,4,95,82,0,90,114,1053,6,98,117.7,71
