,,Hourly SiteSage  Data, 2016-10-28 20:37:00,Customer: ,Historic Green Village @AMI

Column name is Energy Monitor Channel Number-Circuit Name
Channel Columns contain energy usage(production) in watt hours for hour
Voltage is average voltage for hour

 Date/Time,"CH1-Bldg F1","CH2-Bldg F1","CH3-Solar Input (F1)","CH4-No CT","CH5-WSHP","CH6-Range","CH7-Range","CH8-Microwave","CH9-Dishwasher","CH10-Mixer","CH11-Fridge in Back","CH12-Front Display Case","CH13-Back Middle Freezer","CH14-Back Freezer near Wall","CH15-Lighting{1}","CH16-Gas Water Heater","CH17-Gas Convection Oven","CH18-Receptacle 1","CH19-Receptacle 2","CH20-Receptacle 3","CH21-Front Small Fridge","CH22-Bath/Mechanical Room","CH23-Outdoor Receptacle","CH24-Lighting Outdoor",Outdoor Temp
2013-01-06 00:00:00,1862,1442,0,0,451,2,0,15,0,0,278,392,885,710,36,1,0,0,0,51,425,21,0,0,63
2013-01-06 01:00:00,1880,1408,0,0,372,1,0,14,0,0,307,481,935,614,36,1,0,0,0,50,404,21,0,0,63
2013-01-06 02:00:00,2006,1355,0,0,377,0,0,14,0,0,235,522,1173,544,36,1,0,0,0,49,358,21,0,0,63
2013-01-06 03:00:00,2139,1437,0,0,752,1,0,14,0,0,350,442,931,499,36,2,0,0,0,50,466,21,0,0,63
2013-01-06 04:00:00,1655,1245,0,0,375,1,0,14,0,0,247,402,867,517,36,1,0,0,0,49,299,21,0,0
2013-01-06 05:00:00,1988,1238,0,0,344,1,0,14,0,0,347,389,956,538,36,1,0,0,0,49,474,21,0,0,63
2013-01-06 06:00:00,1743,1229,0,0,343,2,0,14,0,0,287,382,947,537,36,1,0,0,0,49,292,21,0,0,63
2013-01-06 07:00:00,1703,1264,0,0,339,4,0,14,0,0,244,495,789,503,35,1,0,0,0,50,449,19,0,0,63
2013-01-06 08:00:00,2500,2901,0,0,1080,461,450,13,42,0,326,500,826,499,273,5,0,609,1,56,289,24,4,3,64
2013-01-06 09:00:00,3063,3181,0,0,746,581,564,104,0,8,346,327,1144,477,582,5,0,654,1,137,424,84,121,306,66
2013-01-06 10:00:00,2667,2975,0,0,1082,378,369,20,0,12,329,454,851,493,582,5,0,239,0,133,288,97,220,454,72
2013-01-06 11:00:00,3352,3503,0,0,2316,284,275,18,40,0,262,497,872,456,582,6,0,238,0,142,483,93,219,460,74
2013-01-06 12:00:00,2369,2669,0,0,1258,6,0,19,0,0,166,392,808,467,580,2,0,238,0,105,360,91,218,448,79
2013-01-06 13:00:00,2300,2498,0,0,1086,6,0,16,0,0,304,365,787,493,561,2,0,240,0,110,296,91,220,381,77
2013-01-06 14:00:00,3305,3472,1,0,1285,381,370,16,0,10,245,471,1127,631,565,2,0,239,0,109,400,90,219,382,77
2013-01-06 15:00:00,3585,3530,0,0,1661,563,551,15,0,3,401,409,1038,607,567,3,1,147,0,112,451,80,220,367,76
2013-01-06 16:00:00,2267,2076,0,0,450,6,0,14,0,0,243,491,1235,520,552,2,0,0,0,109,285,75,223,303,71
2013-01-06 17:00:00,2551,1950,0,0,300,6,0,13,0,0,432,409,1378,524,536,4,0,0,0,125,420,69,152,222,67
2013-01-06 18:00:00,2071,1528,0,0,558,6,0,13,40,0,307,376,1082,516,182,4,0,0,0,105,283,23,0,0,65
2013-01-06 19:00:00,2072,1377,0,0,593,6,0,13,0,0,272,371,1036,536,34,1,0,0,0,73,447,15,0,0,65
2013-01-06 20:00:00,1888,1320,0,0,479,6,0,13,0,0,293,410,978,515,35,1,0,0,0,56,318,16,0,0,66
2013-01-06 21:00:00,1972,1400,0,0,554,6,0,13,0,0,263,519,941,490,35,1,0,0,0,50,440,18,0,0,67
2013-01-06 22:00:00,1976,1472,0,0,739,5,0,14,0,0,302,463,946,519,36,1,0,0,0,50,325,19,0,0,66
2013-01-06 23:00:00,1874,1249,0,0,399,4,0,14,0,0,233,369,924,543,36,1,0,0,0,49,450,20,0,0,66
2013-01-07 00:00:00,2121,1241,0,0,372,2,0,13,0,0,327,378,1202,532,35,1,0,0,0,49,364,21,0,0,66
2013-01-07 01:00:00,1957,1417,0,0,669,2,0,14,0,0,244,448,918,514,36,1,0,0,0,50,382,21,0,0,66
2013-01-07 02:00:00,1911,1326,0,0,378,1,0,14,0,0,290,516,945,509,36,1,0,0,0,49,453,21,0,0,65
2013-01-07 03:00:00,1924,1434,0,0,766,2,0,14,0,0,234,412,944,508,36,1,0,0,0,51,308,20,0,0,65
2013-01-07 04:00:00,1851,1282,0,0,376,1,0,14,0,0,296,367,854,612,35,1,0,0,0,50,448,21,0,0,64
2013-01-07 05:00:00,1667,1351,0,0,371,2,0,14,0,0,200,370,907,649,35,1,0,0,0,49,302,21,0,0,65
2013-01-07 06:00:00,1844,1314,0,0,366,4,0,13,0,0,294,500,882,513,35,1,0,0,0,50,450,20,0,0,65
2013-01-07 07:00:00,1772,1415,0,0,626,5,0,13,0,0,260,476,806,509,34,1,0,0,0,50,338,18,0,0,63
2013-01-07 08:00:00,1759,1130,0,0,328,6,0,13,0,0,261,361,859,493,33,1,0,0,0,48,396,17,0,0,63
