,,Daily SiteSage Data, 2018-01-01 15:58:00,Customer: ,Historic Green Village,Location: Bakery (F1)

Column name is Energy Monitor Channel Number-Circuit Name
Channel Columns contain energy usage(production) in kWh for day
Voltage is average voltage for day

 Date,"CH1-Bldg F1","CH3-PV Array F1","CH4-Plug: Front FridgeT","CH5-A/C: WSHP1","CH6-Range","CH8-Plug: Microwave","CH9-Wired: Dishwasher","CH10-Plug: Mixer","CH11-Plug: Fridge in Back","CH12-Plug: Front Display Case","CH13-Plug: Back Middle Freezer","CH14-Plug: Back Freezer near Wall","CH15-Lights: Indoor 1","CH16-DHW Gas Instant","CH17-Plug: Gas Oven","CH18-Plugs: Outlet 1","CH19-Plugs: Outlet 2","CH20-Plugs: Outlet 3","CH21-Plug: Front Small Fridge","CH22-Lights: Bath/Mechanical Room","CH23-Plug: Outdoor Receptacle","CH24-Lights: Outdoor 4",4065/Voltage,Outdoor Temp
2015-03-15,131.963,-22.188,0.001,41.769,1.629,0.667,0.123,2.572,10.881,22.682,22.526,14.035,7.909,0.051,1.943,0.017,0.000,2.137,0.939,22.296,0.012,0.961,118.25417,73.5
2015-03-16,150.194,-23.049,0.000,49.066,2.121,1.067,0.227,2.397,12.489,21.946,23.686,14.682,7.659,0.069,3.810,1.287,0.000,1.926,1.267,22.611,0.022,1.113,118.55000,73
2015-03-17,157.759,-24.081,0.000,48.105,6.674,0.703,0.449,2.304,15.582,23.113,24.168,15.411,8.687,0.079,3.340,1.581,0.001,1.843,1.783,23.068,0.021,0.968,118.99167,72.6
2015-03-18,158.657,-22.987,0.000,51.462,2.712,1.234,0.272,2.002,12.838,23.244,23.290,15.010,9.531,0.091,2.339,2.119,0.000,2.338,1.764,22.630,0.022,1.266,118.75833,73.6
2015-03-19,144.502,-21.320,0.000,42.896,3.041,0.816,0.191,2.015,11.652,22.978,22.164,13.273,9.185,0.077,1.328,0.448,0.000,2.193,2.099,22.377,0.017,1.176,118.95000,72.8
2015-03-20,165.917,-23.456,0.000,53.846,7.433,1.493,0.523,3.194,14.305,23.099,24.203,14.044,8.541,0.090,4.180,1.590,0.001,1.709,2.066,22.641,0.031,1.104,118.95833,72.3
2015-03-21,148.236,-22.780,0.000,43.720,3.714,0.743,0.224,2.392,11.594,23.234,24.265,16.267,8.114,0.052,1.250,0.000,0.000,1.840,1.909,23.365,0.014,0.917,119.16667,73
2015-03-22,141.784,-18.892,0.001,46.117,5.575,0.885,0.155,1.830,9.467,22.600,21.851,15.832,8.527,0.049,1.430,0.700,0.000,1.931,1.461,22.152,0.017,0.779,118.18333,73.4
2015-03-23,152.622,-16.467,0.000,44.275,6.257,1.019,0.160,2.271,12.423,22.690,23.213,16.059,6.773,0.065,1.323,1.160,0.000,1.654,1.641,23.230,0.017,0.981,118.41667,73.8
2015-03-24,141.955,-23.095,0.000,40.587,4.754,1.015,0.198,4.310,12.247,22.821,21.573,14.575,6.654,0.072,1.776,1.235,0.000,1.606,1.491,23.016,0.017,1.044,118.66250,72
